word,word_normalized,num_raw_variants
cúmú,cʊ́mú,1
dìjɔ́,dìjɔ́,4
dìjò,dìjɔ́,4
dìjó,dìjɔ́,4
dìó,dìjɔ́,4
díjɔ́,díjɔ́,6
díjó,díjɔ́,6
díjò,díjɔ́,6
díò,díjɔ́,6
dijo,díjɔ́,6
díjɔ̀,díjɔ́,6
dòɾě,dòɾè,4
dòɾì,dòɾè,4
dòɾè,dòɾè,4
dòɾǐ,dòɾè,4
dòɾèɲà,dòɾèɲà,3
dòrèɲà,dòɾèɲà,3
ĺdòɾɲǎ,dòɾèɲà,3
ĺdóɾɲâ,dóɾèɲà,2
ĺdóɾɲà,dóɾèɲà,2
dún,dún,7
dlún,dún,7
dùn,dún,7
dun,dún,7
ígún,dún,7
ndɔ́n,dún,7
íɲún,dún,7
dúnŋù,dúnŋù,1
dɔ̀ŋðàt̪á,dɔ̀ŋðàt̪á,1
dɔ̀ŋðá,dɔ̀ŋðá,1
gdɔ̀ɽðɔ̀t̪ɔ́,dɔ̀ŋðɔ̀t̪ɔ́,1
dɔ̀ŋðɔ̀,dɔ̀ŋðɔ́,2
dɔ̀ŋðɔ́,dɔ̀ŋðɔ́,2
dɔ́ŋðà,dɔ́ŋðà,2
àdɔ́ŋðà,dɔ́ŋðà,2
dɔ́ŋðát̪ɔ́,dɔ́ŋðát̪ɔ́,1
dɔ́ŋðɔ́,dɔ́ŋðɔ́,1
dɔ́ŋðɛ̀,dɔ́ŋðɛ̀,3
dɔ̀ŋðɛ̀,dɔ́ŋðɛ̀,3
ádɔ́ŋðɛ̀,dɔ́ŋðɛ̀,3
dɔ́ɽðàt̪à,dɔ́ɽðàt̪à,1
dɛ̀,dɛ̀,7
dɛ́,dɛ̀,7
dè,dɛ̀,7
dɛ,dɛ̀,7
dé,dɛ̀,7
dɛ̌,dɛ̀,7
dě,dɛ̀,7
dɛ̂,dɛ̂,1
d̪ùd̪ɔ̌,d̪ùd̪ɔ̀,3
d̪ùd̪ɔ̀,d̪ùd̪ɔ̀,3
dùdɔ̀,d̪ùd̪ɔ̀,3
d̪ʊ̀ɾɔ́,d̪ùɾɔ́,4
d̪ùrɔ́,d̪ùɾɔ́,4
d̪ʊ̀ɾɔ̀,d̪ùɾɔ́,4
d̪ʊ̀ɾɔ̂,d̪ùɾɔ́,4
d̪úd̪ɔ̀,d̪úd̪ɔ̀,2
d̪úd̪ɔ́,d̪úd̪ɔ̀,2
d̪ʊ́ɾʊ́,d̪úɾɔ́,3
d̪úrɔ̌,d̪úɾɔ́,3
d̪úɾú,d̪úɾɔ́,3
d̪ʊ́ɾɔ́t̪ɔ́,d̪úɾɔ́t̪ɔ́,1
d̪úɾǐ,d̪úɾɛ̀,1
dúɛ̀t̪ɛ̌,d̪úɾɛ̀t̪ɛ̀,1
ed̪ɔɽɔlɛdel,ed̪ɔɽɔlɛdel,1
èdɔ̀ɽɔ̀,èdɔ̀ɽɔ̀,3
èdɔ̀ɽɔ̌,èdɔ̀ɽɔ̀,3
ìdɔ̀ɽɔ̀,èdɔ̀ɽɔ̀,3
èd̪ɔ̀ɽɔ̀l,èdə̀ɽɔ̀l,2
èdə̀ɽɔ̀l,èdə̀ɽɔ̀l,2
ðɛ̀dɛ̀ɽì,èdɛ̀ɽì,5
èdɛ̀ɽɔ̀,èdɛ̀ɽì,5
ìdɜ̀ɽì,èdɛ̀ɽì,5
ìdɛ̀ɽɔ̀,èdɛ̀ɽì,5
èdɛ̀ɽì,èdɛ̀ɽì,5
èdɜ́rə́lù,èdɜ́rə́lù,1
èdìrá,èd̪èɾá,3
èd̪èɾá,èd̪èɾá,3
èdɛ̀ɾá,èd̪èɾá,3
èd̪ɛ́ɾɛ́,èd̪ɛ̀ɾɛ́,12
èdɛ̀rɛ́,èd̪ɛ̀ɾɛ́,12
ɽìd̪ɛ́ɾɛ́,èd̪ɛ̀ɾɛ́,12
